date,category,amount,note
2025-01-03,Housing,1200.00,January rent
2025-01-04,Food,42.50,groceries
2025-01-05,Transport,18.75,bus pass top-up
2025-01-07,Food,12.20,lunch
2025-01-09,Utilities,64.30,electricity
2025-01-11,Entertainment,29.99,streaming annual
2025-01-12,Food,55.10,groceries
2025-01-14,Transport,44.00,fuel
2025-01-16,Food,9.80,coffee and pastry
2025-01-18,Utilities,28.15,water
2025-01-19,Entertainment,15.00,cinema
2025-01-21,Food,61.40,groceries
2025-01-22,Other,80.00,gift
2025-01-24,Transport,18.75,bus pass top-up
2025-01-26,Food,7.25,snack
2025-01-28,Housing,90.00,building maintenance
2025-01-30,Food,48.60,groceries
2025-01-31,Utilities,12.00,internet overage
this line is not valid and should be skipped
2025-02-01,Food,,missing amount so skipped
